1883,01.09,00.95,00.41,00.31,01.14,00.08,00.00,00.00,00.00,02.01,00.20,01.82,08.01,01.34,09.05,06.23,02.84,02.17,00.31,25.97
1884,01.34,09.05,06.23,02.84,02.17,00.31,00.00,00.00,00.07,00.35,00.11,05.12,27.59,00.35,00.02,00.78,01.20,00.61,00.06,08.67
1885,00.35,00.02,00.78,01.20,00.61,00.06,00.00,00.13,00.00,00.31,01.56,00.71,05.73,06.95,01.51,03.73,01.95,00.04,00.07,16.96
1886,06.95,01.51,03.73,01.95,00.04,00.07,00.00,00.00,00.00,00.05,00.95,00.10,15.35,00.04,04.51,00.02,02.14,00.47,00.04,08.32
1887,00.04,04.51,00.02,02.14,00.47,00.04,00.01,00.00,00.00,00.00,02.08,01.14,10.45,01.96,01.48,02.79,00.10,00.22,00.04,09.82
1888,01.96,01.48,02.79,00.10,00.22,00.04,00.01,00.00,00.04,00.26,01.83,02.84,11.57,01.72,01.80,02.20,00.19,00.03,00.10,11.02
1889,01.72,01.80,02.20,00.19,00.03,00.10,00.00,00.04,00.00,02.12,00.12,07.71,16.03,02.79,01.70,00.41,00.05,00.08,00.00,15.02
1890,02.79,01.70,00.41,00.05,00.08,00.00,00.00,00.00,00.65,00.01,00.72,01.61,08.02,01.21,04.84,00.27,00.76,00.35,00.05,10.47
1891,01.21,04.84,00.27,00.76,00.35,00.05,00.00,00.00,00.08,00.04,00.10,01.29,08.99,01.58,02.96,00.96,00.41,01.15,00.13,08.70
1892,01.58,02.96,00.96,00.41,01.15,00.13,00.00,00.05,00.00,00.22,00.94,00.69,09.09,00.78,00.47,05.50,00.22,00.39,00.00,09.26
1893,00.78,00.47,05.50,00.22,00.39,00.00,00.00,00.00,00.00,00.11,00.91,01.91,10.29,00.29,00.49,01.05,00.11,00.09,00.01,04.97
1894,00.29,00.49,01.05,00.11,00.09,00.01,00.00,00.04,00.01,00.00,00.00,02.26,04.35,07.33,00.53,01.43,00.11,00.19,00.00,11.90
1895,07.33,00.53,01.43,00.11,00.19,00.00,00.00,00.00,00.01,00.27,01.19,00.27,11.33,01.27,00.02,02.89,00.25,00.03,00.01,06.21
